2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 750 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 755 flow
2019-11-15 10:51:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 761 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 763 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 762 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 761 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 761 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 760 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 764 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 764 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 764 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 764 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 764 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 765 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 765 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 771 flow
2019-11-15 10:51:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 771 flow
2019-11-15 10:51:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 804 flow
2019-11-15 10:51:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 804 flow
2019-11-15 10:51:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 805 flow
2019-11-15 10:51:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 815 flow
2019-11-15 10:51:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 815 flow
2019-11-15 10:51:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 857 flow
2019-11-15 10:51:46 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 857 flow
2019-11-15 10:51:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 857 flow
2019-11-15 10:51:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 857 flow
2019-11-15 10:51:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 912 flow
2019-11-15 10:51:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 912 flow
2019-11-15 10:51:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 914 flow
2019-11-15 10:51:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 914 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 941 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 941 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 949 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 948 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 947 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 950 flow
2019-11-15 10:51:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 950 flow
2019-11-15 10:51:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1008 flow
2019-11-15 10:51:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1007 flow
2019-11-15 10:51:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1006 flow
2019-11-15 10:51:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1008 flow
